uniqueID,classID
1,2
9,8
10,2
14,5
16,6
24,9
25,4
26,8
28,5
34,0
35,6
36,7
40,5
42,7
49,2
51,1
54,9
56,5
61,8
63,6
64,0
67,2
79,0
80,5
82,8
87,9
98,3
107,0
110,0
112,1
113,8
115,0
116,0
117,7
119,7
125,8
126,2
129,9
133,2
134,0
136,0
140,5
147,5
148,4
150,8
152,9
156,3
166,8
167,0
171,2
172,2
177,5
178,8
181,9
188,2
193,6
194,7
201,5
203,9
209,9
210,2
217,9
218,5
224,0
225,4
228,7
233,3
234,3
239,2
242,2
244,3
247,1
255,0
260,5
262,2
264,9
271,2
285,8
288,8
290,3
294,3
303,6
304,5
306,5
307,5
308,8
314,2
319,9
320,1
323,0
325,5
328,6
330,4
335,0
336,3
338,1
341,3
342,8
353,8
354,9
357,9
359,2
368,9
373,6
379,7
385,2
387,3
391,6
393,7
396,7
399,9
400,0
404,0
410,5
415,0
418,3
419,0
427,1
428,1
431,8
433,1
436,5
438,2
441,9
442,6
443,9
444,0
445,7
447,6
448,5
453,6
462,5
465,8
467,0
470,0
476,9
482,1
483,7
497,0
500,6
505,5
511,6
520,2
527,5
528,9
530,5
532,4
536,9
544,1
545,7
546,3
547,8
548,2
549,3
550,6
553,1
555,1
560,7
564,3
566,7
570,5
578,3
581,7
583,0
588,5
592,9
600,8
604,2
607,9
608,5
609,8
610,4
613,9
620,0
622,0
625,2
626,7
629,5
631,8
638,1
640,2
645,6
649,7
655,3
661,6
662,2
664,8
667,7
668,2
671,5
681,5
682,3
684,5
686,5
692,0
694,3
696,8
699,0
704,6
705,8
707,5
709,3
712,4
713,9
714,9
716,2
717,8
721,0
722,4
729,2
734,9
741,5
742,7
746,2
747,5
750,9
752,8
755,5
758,1
760,1
761,8
762,6
764,2
766,5
767,5
775,5
784,0
785,4
786,0
792,8
796,9
798,3
805,0
808,4
822,2
827,5
828,4
831,3
832,3
838,2
842,2
847,6
850,6
852,2
854,3
859,9
860,5
861,0
862,2
863,9
871,6
873,5
875,3
876,0
877,5
884,5
887,8
890,2
895,7
897,9
899,7
904,8
906,9
908,0
919,6
930,2
932,0
934,9
937,9
942,0
951,3
952,5
958,3
961,0
963,5
967,8
970,3
984,2
986,9
987,0
988,7
989,8
995,0
999,5
1000,9
1001,0
1003,8
1005,5
1007,1
1008,6
1010,9
1014,7
1016,5
1017,3
1018,3
1027,5
1037,3
1038,2
1039,0
1043,5
1047,9
1048,8
1050,6
1051,8
1052,1
1058,7
1067,3
1072,2
1080,8
1082,5
1083,6
1084,7
1085,6
1093,8
1101,3
1102,8
1106,2
1107,3
1109,0
1113,5
1114,0
1115,5
1118,2
1121,8
1123,0
1126,1
1136,5
1137,2
1140,7
1141,2
1146,7
1147,8
1148,5
1152,6
1156,0
1159,4
1160,5
1163,8
1165,8
1167,2
1168,0
1171,8
1173,0
1174,7
1177,3
1178,0
1180,3
1184,3
1186,0
1188,6
1190,5
1194,2
1200,5
1212,3
1215,7
1221,2
1227,8
1228,8
1231,7
1244,2
1248,8
1250,8
1251,5
1253,2
1256,5
1259,6
1264,2
1267,0
1276,6
1281,9
1291,3
1294,1
1296,7
1298,7
1302,0
1307,8
1310,2
1322,6
1324,0
1327,3
1328,8
1331,6
1332,1
1338,1
1347,9
1352,5
1354,0
1363,3
1364,0
1385,8
1386,9
1389,3
1391,9
1393,2
1394,2
1395,5
1402,7
1405,2
1406,9
1410,2
1414,6
1418,8
1420,1
1421,7
1423,4
1424,5
1426,4
1427,5
1430,7
1431,7
1437,3
1441,9
1447,6
1448,6
1449,5
1451,2
1453,1
1459,5
1462,3
1465,4
1473,8
1474,3
1482,2
1484,8
1487,5
1491,5
1494,9
1501,5
1508,0
1509,2
1510,2
1512,6
1520,7
1522,5
1528,0
1529,5
1545,0
1550,1
1551,7
1555,9
1557,2
1564,6
1574,6
1580,8
1582,5
1588,6
1590,2
1593,2
1596,6
1597,8
1602,5
1603,8
1609,4
1610,5
1611,3
1613,2
1614,2
1615,2
1616,8
1623,3
1628,3
1637,5
1640,5
1651,2
1652,9
1656,7
1657,7
1661,7
1662,7
1668,9
1670,9
1672,3
1680,5
1689,7
1699,9
1704,6
1713,3
1714,6
1716,3
1722,5
1723,7
1733,5
1742,3
1749,9
1755,5
1756,4
1757,3
1758,0
1766,7
1767,7
1768,3
1770,1
1773,5
1778,4
1786,2
1788,0
1789,9
1818,5
1819,8
1824,3
1825,5
1830,9
1832,6
1833,0
1839,2
1843,2
1846,1
1849,7
1851,2
1852,1
1853,5
1854,5
1855,8
1856,6
1857,6
1858,2
1865,9
1868,3
1869,2
1876,0
1878,3
1880,8
1887,5
1889,8
1890,7
1892,1
1894,7
1895,8
1897,2
1901,3
1903,7
1904,8
1914,0
1918,6
1931,6
1933,3
1936,6
1940,6
1942,5
1946,1
1952,7
1953,3
1960,0
1962,8
1966,9
1975,3
1980,9
1982,3
1985,5
1987,3
1994,8
1995,6
1998,5
2007,5
2009,0
2013,4
2014,7
2019,8
2028,0
2036,3
2047,8
2054,5
2055,0
2057,5
2063,3
2070,8
2074,7
2079,2
2083,6
2084,9
2085,0
2087,5
2091,9
2094,3
2100,9
2101,6
2105,6
2108,0
2118,5
2120,5
2124,5
2127,3
2129,5
2131,5
2133,2
2135,8
2140,9
2141,7
2143,8
2148,5
2150,5
2152,5
2154,5
2160,8
2166,2
2167,3
2168,5
2171,7
2172,5
2179,9
2182,3
2183,9
2187,8
2199,9
2202,5
2210,2
2216,1
2217,3
2221,2
2227,5
2235,0
2239,8
2240,5
2241,0
2243,1
2246,6
2248,8
2256,6
2257,0
2263,6
2266,5
2278,2
2280,3
2288,8
2302,6
2303,0
2304,7
2309,8
2313,5
2314,0
2315,5
2319,0
2320,2
2328,8
2329,3
2337,3
2338,3
2342,1
2345,2
2358,2
2360,2
2361,5
2372,0
2375,3
2378,9
2382,0
2384,5
2387,3
2388,0
2390,2
2394,0
2397,6
2399,3
2405,2
2406,7
2407,0
2414,0
2415,4
2417,5
2420,5
2423,5
2426,8
2427,7
2428,6
2436,4
2437,3
2438,6
2439,5
2440,3
2443,5
2448,5
2449,9
2456,7
2473,6
2475,8
2476,8
2478,8
2480,2
2485,1
2488,3
2489,8
2491,7
2498,0
2504,8
2505,0
2506,3
2511,6
2513,0
2514,9
2526,4
2533,6
2539,4
2540,3
2541,5
2542,8
2543,9
2548,2
2554,9
2559,6
2565,5
2569,8
2570,2
2571,0
2572,3
2575,0
2580,7
2586,6
2594,9
2595,0
2596,0
2602,8
2614,2
2615,5
2623,3
2624,5
2627,8
2628,2
2635,6
2637,0
2644,8
2647,6
2648,7
2653,2
2657,8
2660,6
2662,2
2672,2
2678,5
2679,6
2680,6
2688,2
2689,3
2690,1
2693,3
2696,7
2697,6
2703,7
2707,0
2708,4
2710,3
2723,6
2729,9
2731,4
2732,8
2733,5
2736,9
2740,7
2752,5
2753,5
2755,0
2756,1
2758,7
2760,6
2761,3
2766,1
2770,9
2775,6
2779,3
2782,6
2785,2
2791,3
2794,0
2800,6
2802,9
2805,1
2807,5
2808,3
2813,5
2823,0
2826,0
2827,8
2828,4
2831,0
2835,8
2840,1
2846,8
2847,9
2849,0
2852,2
2853,7
2854,3
2855,0
2856,7
2857,5
2863,1
2864,6
2879,4
2880,3
2893,3
2905,3
2906,5
2909,0
2911,9
2919,7
2920,0
2922,1
2926,5
2927,3
2929,8
2932,0
2933,8
2944,2
2946,3
2962,8
2964,9
2965,0
2969,8
2970,7
2972,1
2982,3
2992,6
2994,3
2998,0
3001,3
3006,1
3007,2
3009,7
3015,5
3018,2
3019,5
3025,9
3039,0
3075,5
3077,5
3084,6
3088,5
3094,5
3095,5
3108,8
3110,0
3111,0
3126,2
3136,5
3138,5
3141,9
3143,0
3146,5
3150,5
3155,2
3156,1
3158,9
3161,5
3164,3
3165,2
3166,8
3169,8
3175,0
3178,7
3184,5
3202,8
3207,2
3213,8
3214,5
3217,4
3224,8
3228,1
3232,5
3233,7
3237,5
3238,3
3245,3
3248,3
3253,6
3263,9
3270,1
3271,8
3274,9
3277,7
3278,8
3293,9
3295,5
3299,3
3300,5
3304,9
3307,7
3322,8
3326,8
3331,8
3334,9
3335,5
3337,7
3343,3
3353,2
3357,2
3360,6
3363,1
3364,1
3369,3
